*Vin, 5V*
8.0, 5.0
*R0, R1, R2, R3, R4, R5*
509.8, 509.8, 510.0, 510.0, 509.8, 510.0
*Measurement, % Error, Device_Resistance*
01ii, 0.16095814412512055, 366.3464668967992
01io, 0.1538843709499783, 359.93393340646304
01oi, 0.22476063392592982, 393.5888893369734
01oo, 0.22973167482509393, 392.81618699177733
02ii, 0.23860226761825687, 395.50197747267435
02io, 0.22468745689642544, 393.5517314401654
02oi, 0.22815999565476408, 393.67507714454376
02oo, 0.22224390569291697, 396.24380559774346
03ii, 0.23627723928832878, 391.31675847699
03io, 0.2330455557436638, 391.25614091001296
03oi, 0.2359425732267697, 391.07965542522015
03oo, 0.2333993333117632, 391.4203372434016
04ii, 0.25105834514019976, 395.63617737806
04io, 0.24572168182977105, 392.80322201201955
04oi, 0.24796017212950927, 400.1395507066203
04oo, 0.24432511614792296, 398.7483611121421
05ii, 0.10321753150864954, 387.68687418337765
05io, 0.10031578774561845, 384.5278187824613
05oi, 0.11411178671864264, 393.81058493191847
05oo, 0.11261480458558026, 390.7934022789152
06ii, 0.10777355791188148, 389.77769603219497
06io, 0.10918163157962113, 390.885032134875
06oi, 0.10780432082595814, 389.83856721266864
06oo, 0.10723016931325935, 390.18856866324745
07ii, 0.10529712354519738, 388.3833768392602
07io, 0.10833525083311346, 388.12886931146295
07oi, 0.11089832833969437, 389.65905137697405
07oo, 0.10910426425329689, 387.2670049487846
08ii, 0.11675367092307731, 388.8006226899328
08io, 0.10794391819991689, 385.5706872370269
08oi, 0.1125514294919514, 390.46430512271667
08oo, 0.1093077994260605, 390.60765003122873
09ii, 0.12922523412969544, 391.2222332021849
09io, 0.13232370655900505, 389.8457586618878
09oi, 0.13806790035910532, 397.65682441680843
09oo, 0.14788617612716737, 399.71064020241073
10ii, 0.1508099021155157, 396.453948942342
10io, 0.15074328063865816, 402.9701023694595
10oi, 0.15033453042940437, 398.33897635222024
10oo, 0.13729567686164124, 398.5141382681511
11ii, 0.14689868992056276, 393.22042829398663
11io, 0.14170895167610276, 393.884802349526
11oi, 0.1465616067168649, 392.9848084181301
11oo, 0.1414965647497416, 393.8355139013099
12ii, 0.15346863857577364, 394.5279354650495
12io, 0.1536502179936503, 394.6448680351905
12oi, 0.1480093413536121, 397.2677836196152
12oo, 0.15392670503612849, 401.2717302052788
13ii, 0.13500213118521343, 382.4480291867444
13io, 0.13964164470668972, 382.3888780656331
13oi, 0.15158054850282698, 390.51457404845235
13oo, 0.15052691624436254, 387.0995534760101
14ii, 0.15294684540744619, 386.4253398698164
14io, 0.14482657814685962, 387.6200342101164
14oi, 0.15100362194411587, 387.30107507789626
14oo, 0.15031177386619354, 393.2160074881043
15ii, 0.1634869439188359, 388.8592202419393
15io, 0.15660596199878762, 386.54296357535975
15oi, 0.16097911602632886, 386.9320027330848
15oo, 0.1582993861435814, 385.810884730373
16ii, 0.15290096656661645, 380.1764419781854
16io, 0.16112646091614613, 385.4581201733456
16oi, 0.15702083583628423, 386.73325066294
16oo, 0.1526505789432563, 386.3377846124506
17ii, 0.11819306593452739, 372.7641718689832
17io, 0.11890976751282278, 372.1653064406896
17oi, 0.12822019137996998, 379.8297357419963
17oo, 0.13283950694122426, 380.5883192239771
18ii, 0.13864072107178615, 381.4120428875494
18io, 0.1312879472115932, 381.4994021677788
18oi, 0.13405961511281017, 382.72081051478625
18oo, 0.12864592231703842, 383.7029428582243
19ii, 0.14401009256330588, 380.52492257505406
19io, 0.13750302713350415, 379.37958715456597
19oi, 0.13825199493757045, 376.7711944699798
19oo, 0.13408190788350605, 376.50117302052803
20ii, 0.1382406150431551, 377.37105068065523
20io, 0.14117355418901412, 376.5005417857325
20oi, 0.13469140266438895, 378.3484741025868
20oo, 0.14369154132615736, 380.7274529201853
21ii, 0.13071258428191757, 366.1157292681577
21io, 0.13474528855701795, 364.38493201262963
21oi, 0.14299283030710175, 372.1311537892568
21oo, 0.1421862327458936, 367.5618084606916
22ii, 0.15689955029866243, 372.3083673007456
22io, 0.14831928599751432, 373.300606600054
22oi, 0.14429184074000745, 368.6343685343117
22oo, 0.14340722471544787, 374.23710375645857
23ii, 0.15520434690902563, 368.9956165356182
23io, 0.15313276649182495, 367.72606552066816
23oi, 0.1563557401644372, 369.68349797751887
23oo, 0.15324778198589017, 367.77602783048667
24ii, 0.16274465556703988, 368.9456728902112
24io, 0.16831424750972945, 369.7968391767438
24oi, 0.1655475473535284, 374.8286681428383
24oo, 0.16814417634040757, 374.3792880197883
