*Vin, 5V*
8.0, 5.0
*R0, R1, R2, R3, R4, R5*
509.8, 509.8, 510.0, 510.0, 509.8, 510.0
*Measurement, % Error, Device_Resistance*
01ii, 0.23575516579193867, 397.14005503733193
01io, 0.23240539537928673, 392.0453950071306
01oi, 0.2518675362208457, 404.44185313579413
01oo, 0.2560875589794043, 403.107530627054
02ii, 0.26365535696384235, 405.2572143153039
02io, 0.25276433085037875, 404.94430382226034
02oi, 0.2555137542622786, 404.70862276630334
02oo, 0.2505533799832318, 408.0054606106268
03ii, 0.26290017021568124, 402.06148798265883
03io, 0.258963320001691, 401.5252975557819
03oi, 0.2620931195927806, 401.43585897493665
03oo, 0.25935070648105996, 401.61721979714355
04ii, 0.27320037662958596, 403.93246989635986
04io, 0.27075969441525083, 402.4274636056016
04oi, 0.2730771488410839, 407.8289788336282
04oo, 0.26864289851069467, 405.38978415772567
05ii, 0.10661478717482809, 389.03524765451175
05io, 0.10439982749072552, 385.9368881848276
05oi, 0.13256107016626817, 401.9114947208569
05oo, 0.13164801157066985, 399.00491530616705
06ii, 0.13458975720688615, 397.81708506947234
06io, 0.1278892374198517, 399.1263519747132
06oi, 0.13403191804737047, 397.5284462935605
06oo, 0.12504671519863564, 397.942293042001
07ii, 0.1327884114448058, 396.32958885013124
07io, 0.13383316326622274, 395.27783349814626
07oi, 0.13448522236564997, 395.7527408578195
07oo, 0.13900646303796615, 396.5385811413746
08ii, 0.14189622417400016, 395.75742292846627
08io, 0.14006814298497294, 396.2209565959657
08oi, 0.14542117965987622, 399.3207744583613
08oo, 0.14114435053837326, 398.7084389493206
09ii, 0.1423492624607693, 396.095611791212
09io, 0.14248951243024233, 393.6007344726459
09oi, 0.16935304150778996, 409.1923226326498
09oo, 0.17565854308599327, 409.50888928762157
10ii, 0.18196103860110124, 408.0893018752132
10io, 0.17951008795268042, 413.5676114015072
10oi, 0.18153786868405308, 410.4361637931195
10oo, 0.1710399638801393, 411.73179606168276
11ii, 0.17802818804622045, 404.7267056223491
11io, 0.1723540295411572, 404.8045490830194
11oi, 0.177976824886783, 404.80077505919735
11oo, 0.171762411598669, 404.6475563830702
12ii, 0.18076421307059087, 403.85704995421804
12io, 0.1823584528254244, 404.95972790105134
12oi, 0.18153046207688484, 407.8912406994899
12oo, 0.18231314418925515, 408.73268279737783
13ii, 0.14806328451288497, 387.69286756082295
13io, 0.149117636813771, 386.25220115076877
13oi, 0.17377746121530702, 397.76713024611877
13oo, 0.18234467145019762, 399.9116059677208
14ii, 0.18283382257561043, 397.51183711056
14io, 0.17829554944406312, 401.1540340522289
14oi, 0.1776353040317159, 397.45760819042823
14oo, 0.17098800002152703, 399.75721273862325
15ii, 0.18568809183154977, 396.59724016493226
15io, 0.18229069630097305, 395.56753874974527
15oi, 0.18812610438780897, 396.5612476493068
15oo, 0.18240837583283076, 394.8107315329511
16ii, 0.1849656595336454, 392.5058785727548
16io, 0.18125580847895795, 391.66314283691975
16oi, 0.18603513802713612, 395.3141038160227
16oo, 0.18269504124366798, 395.03059018919635
17ii, 0.134217203713758, 379.4783649116723
17io, 0.1277633531928144, 375.48124204085445
17oi, 0.15917644117148688, 390.8420757144147
17oo, 0.15649638196455617, 388.25906502905275
18ii, 0.16325820973510674, 389.76098198740084
18io, 0.15847681151985393, 391.62379403870926
18oi, 0.16016619400545906, 391.5436756562406
18oo, 0.15421991093049425, 393.0991295728866
19ii, 0.16772357255731551, 388.3703308948662
19io, 0.16014959900247638, 386.4543319734798
19oi, 0.1689365575132309, 387.92936905409516
19oo, 0.1639199619564602, 387.5431737120155
20ii, 0.162196797373239, 385.4900606515987
20io, 0.16886160356800406, 386.17131190443763
20oi, 0.16539521560703974, 387.5418118087997
20oo, 0.17449459779731613, 389.85049780022496
21ii, 0.14770732068020875, 373.125008596612
21io, 0.1448377953575054, 368.5949373282423
21oi, 0.17370032866909602, 383.10321920410104
21oo, 0.17608182485301127, 380.45780126245927
22ii, 0.18677754880394304, 383.1665416122374
22io, 0.1798118806033534, 385.67128928773076
22oi, 0.1796984346192525, 382.5319395476765
22oo, 0.17517565800242318, 385.93671827047655
23ii, 0.1866313590743559, 380.98623450821674
23io, 0.18643840998344252, 380.4842236208202
23oi, 0.18623958303990196, 380.8977808691153
23oo, 0.18781300392660993, 381.382046910605
24ii, 0.19696583019393032, 382.5797826474545
24io, 0.199556097202521, 381.88657155235126
24oi, 0.19855787057570506, 385.78982731567635
24oo, 0.19957714073349997, 384.34031144651885
