*Vin, 5V*
8.0, 5.0
*R0, R1, R2, R3, R4, R5*
509.8, 509.8, 510.0, 510.0, 509.8, 510.0
*Measurement, % Error, Device_Resistance*
01ii, 0.2321822890896702, 392.6379383977248
01io, 0.23008606406833065, 388.0877783263082
01oi, 0.2500243744729812, 401.1571147462076
01oo, 0.2528773241233656, 398.9234302160566
02ii, 0.2534843420028148, 397.03910589971036
02io, 0.2514038620867113, 402.0986250004842
02oi, 0.25468971320117295, 402.3006961402211
02oo, 0.24508866207555857, 402.5221888853068
03ii, 0.2570562295723561, 396.93865655965897
03io, 0.24957919637162906, 394.39130584767906
03oi, 0.2592379732002644, 397.78957184999445
03oo, 0.25162121774593904, 395.6174884248421
04ii, 0.268392201935969, 399.1324474389911
04io, 0.2643926602662712, 396.05735888716765
04oi, 0.26332812595095256, 401.8384493956481
04oo, 0.25959492169372, 398.98821192401863
05ii, 0.1021343515392702, 384.22875408422124
05io, 0.10151364661355544, 381.87793590853175
05oi, 0.12336033193934104, 395.00729377221546
05oo, 0.12265535034629615, 392.3564362162891
06ii, 0.12891286225658782, 392.5651346589243
06io, 0.12067534161077298, 393.32155488273906
06oi, 0.12675360098939448, 391.6898083596774
06oo, 0.12179992712566146, 394.1452378073541
07ii, 0.12792518040707523, 391.6898248407339
07io, 0.12926097171756068, 390.6332955944947
07oi, 0.12855689919569424, 390.61976833814003
07oo, 0.13001925088197086, 390.13056278041995
08ii, 0.138906263620293, 392.07438105952866
08io, 0.13204898515586805, 389.4999005116484
08oi, 0.13259791623084538, 391.9608039928317
08oo, 0.12920032524444214, 391.3703632920478
09ii, 0.13932086301589208, 391.95936087678916
09io, 0.14463012016957066, 391.80898337044806
09oi, 0.16499772276757618, 404.51018301733524
09oo, 0.16333617569251613, 400.7021862610631
10ii, 0.17478204313976076, 401.55317377242625
10io, 0.16540943719271262, 403.44028404942446
10oi, 0.17348219672427057, 403.85234659325624
10oo, 0.16730492291912136, 407.38807994268643
11ii, 0.17389661230788378, 400.3348194655249
11io, 0.162405113149386, 397.06200836542644
11oi, 0.17402083343728592, 400.4606598561761
11oo, 0.16319202257415966, 397.533074653561
12ii, 0.17395160157000877, 397.84181309570863
12io, 0.17692855453496914, 399.19922874901965
12oi, 0.1691676270211142, 400.2946864341262
12oo, 0.16892898265557366, 400.17971198078146
13ii, 0.14555029122392016, 384.05563856313904
13io, 0.14467380313448563, 381.2117963081182
13oi, 0.169157729482872, 393.14261120316473
13oo, 0.17062035094411587, 391.5438375853395
14ii, 0.1726731927952867, 390.46924118541983
14io, 0.16529064648962322, 392.14133177587166
14oi, 0.17043230760348194, 391.3423573091601
14oo, 0.16736661198915237, 395.8223518106071
15ii, 0.1794744770329847, 390.8610060789912
15io, 0.17462268521496638, 389.73425979149886
15oi, 0.17803340066477102, 389.4036096686501
15oo, 0.17572008223534152, 389.03212700801885
16ii, 0.17577630098944808, 385.76334010900007
16io, 0.1775361437335936, 387.50058231175126
16oi, 0.1744147223750221, 388.4008349963618
16oo, 0.17387481329614418, 389.445560390713
17ii, 0.13020471630002517, 375.09980769674155
17io, 0.12749061854427024, 373.11898132687224
17oi, 0.14702193183118262, 382.890303455825
17oo, 0.15184531639852372, 384.0726972410049
18ii, 0.15813854616858836, 385.2772195329023
18io, 0.15184927709898655, 385.95684374271383
18oi, 0.15302840252811, 386.1769936753296
18oo, 0.14829564435212794, 387.67153495755605
19ii, 0.1616655455781112, 383.2821705102962
19io, 0.15464395526946584, 381.6832398504329
19oi, 0.15822145248437314, 380.84869170038866
19oo, 0.15448036893347528, 380.80830724717754
20ii, 0.1563364109410419, 380.4366533857868
20io, 0.16812773864608588, 383.76616035610266
20oi, 0.1552104541176239, 381.8134034728756
20oo, 0.16264771983633108, 382.86239703897684
21ii, 0.14390348166127687, 368.8639294042845
21io, 0.14415650580532202, 365.3818553398386
21oi, 0.15951135257972304, 373.88379765395837
21oo, 0.16504693847038354, 372.89722904407586
22ii, 0.17598164494536295, 375.8734157800438
22io, 0.1691899895394472, 377.91150380935
22oi, 0.17347024009787748, 376.9019441770935
22oo, 0.16733402637589512, 380.01611146105375
23ii, 0.1741538030996217, 372.5520277254101
23io, 0.17513782671171052, 372.76358034435157
23oi, 0.1745833224768224, 372.88570482598175
23oo, 0.17545187767645842, 372.9832808904737
24ii, 0.18814837765856085, 375.8754225997924
24io, 0.19519803963148763, 377.27313432835774
24oi, 0.18659170245070134, 379.149182852742
24oo, 0.1902027930354364, 378.2310876443821
