*Vin, 5V*
8.0, 5.0
*R0, R1, R2, R3, R4, R5*
509.8, 509.8, 510.0, 510.0, 509.8, 510.0
*Measurement, % Error, Device_Resistance*
01ii, 0.2288789988281843, 390.0559359323965
01io, 0.23271368443822993, 388.5026878869285
01oi, 0.23315730965166948, 391.3131742216937
01oo, 0.2376361907282304, 390.0766908893582
02ii, 0.23909789170954665, 388.8427042977299
02io, 0.23384153775856875, 391.5970557283659
02oi, 0.2372948578902101, 391.83899564640586
02oo, 0.23330011378612525, 395.7025999131558
03ii, 0.24212490473940784, 387.7579159914379
03io, 0.23368906479413865, 385.02625951043433
03oi, 0.24495652028768666, 389.04843914763876
03oo, 0.23526562475040003, 385.641541439575
04ii, 0.25244737564690256, 389.5459732688363
04io, 0.25091781050268014, 388.421881408467
04oi, 0.2511085845411848, 392.8905842293906
04oo, 0.24921308264821407, 391.51869314122087
05ii, 0.10672558343540461, 385.0446719418376
05io, 0.10646833363187169, 382.7796850520232
05oi, 0.10456430291526275, 385.67876651442316
05oo, 0.10458812521442085, 383.5791822024373
06ii, 0.10895378579571224, 382.4908645248661
06io, 0.10141693347906044, 383.84394433445925
06oi, 0.1065626678706807, 381.6688868260229
06oo, 0.10219419238054384, 384.3480278495223
07ii, 0.10889399205222872, 382.1382849742414
07io, 0.11238640277871059, 382.26939534004396
07oi, 0.11105836601759111, 381.7448205503224
07oo, 0.11007588485820574, 379.9112819837517
08ii, 0.12034297290280205, 382.60996288080395
08io, 0.11668258062524439, 382.0672302182505
08oi, 0.11835884378864392, 383.4971013475178
08oo, 0.11446517650176391, 383.0264870091573
09ii, 0.14442970604244676, 393.255892556152
09io, 0.14516838252078856, 390.66422637868624
09oi, 0.14562662682272776, 394.27337344891856
09oo, 0.1449977825446016, 391.00162275077975
10ii, 0.15935076088233768, 393.5188822660049
10io, 0.14925241356492835, 395.06617076346936
10oi, 0.1533440573023045, 393.0365963461029
10oo, 0.14787002099014201, 396.8142945371736
11ii, 0.15557403479380782, 390.4761636164135
11io, 0.14648214781608404, 388.95161614202334
11oi, 0.15536660960123438, 390.4282586022417
11oo, 0.14730091772925158, 389.4686425962087
12ii, 0.1609901839643182, 391.0679305260768
12io, 0.16268345704767884, 391.9715549390712
12oi, 0.15579451911931397, 392.0373638282156
12oo, 0.15837003564980612, 393.46292352808496
13ii, 0.1505908233593014, 385.1633782353872
13io, 0.152763475808934, 384.141442578765
13oi, 0.1535767924811745, 384.9693292850801
13oo, 0.15395366040035408, 382.7561827281944
14ii, 0.1546650147057892, 380.70317048947766
14io, 0.1499789095446633, 384.11213315910516
14oi, 0.15387140918323527, 382.81349215086175
14oo, 0.14920447976197837, 386.1648666639052
15ii, 0.16280007783294692, 382.04822197660076
15io, 0.1574502237571691, 380.49998995846863
15oi, 0.16533120722616101, 382.2589620437989
15oo, 0.16086809780513933, 380.9481679167136
16ii, 0.16308181361442886, 378.53061209939517
16io, 0.1597432927317861, 378.1504698131953
16oi, 0.16019116825094393, 379.8246058705498
16oo, 0.15989335350088807, 380.49034448760506
17ii, 0.13499058579182754, 376.0610410557192
17io, 0.13281828595366185, 374.08640972977696
17oi, 0.1348110975250454, 376.5708485979808
17oo, 0.13302562223715053, 374.37607645435594
18ii, 0.13885242010577403, 375.17634563099824
18io, 0.13577738743373424, 377.5346805947401
18oi, 0.13557075826277554, 377.1188122332747
18oo, 0.13250115665916862, 379.66075202635005
19ii, 0.14340062985335522, 373.73287907074683
19io, 0.1400424529925106, 373.9659082376533
19oi, 0.14630165967033348, 374.0910433970235
19oo, 0.13696033147403242, 371.66321862069157
20ii, 0.14070142346078307, 372.5893549603926
20io, 0.14887450562910942, 373.58267499468866
20oi, 0.14217175407187888, 373.69042659357694
20oo, 0.15087282747441555, 375.57773478391664
21ii, 0.14556631409862786, 368.46645391579057
21io, 0.14933822222212711, 366.28300346409264
21oi, 0.14707886628747946, 367.7153717022901
21oo, 0.1518442304512423, 365.7359328515988
22ii, 0.15812442847696184, 366.5082498459229
22io, 0.1526420154872199, 369.37879892328834
22oi, 0.15929660005066948, 369.7156993928384
22oo, 0.15402619852856447, 372.7074799037054
23ii, 0.15923641301655256, 364.8591057227454
23io, 0.16453926620120674, 366.6401616363636
23oi, 0.1585547834869161, 364.7458643964836
23oo, 0.16275414186752524, 365.9650295539909
24ii, 0.17854366626593743, 370.7047221233893
24io, 0.17719607369743673, 367.59982512435374
24oi, 0.17083352156764275, 369.47032783106465
24oo, 0.1795946260420761, 371.6605089541513
