*Vin, 5V*,,,,
8,5,,,,
*R0, R1, R2, R3, R4, R5*
509.8,509.8,510,510,509.8,510
*Measurement, % Error, Device_Resistance*,,,
01ii,0.22,385,,,
01io,0.22,385,,,
01oi,0.22,385,,,
01oo,0.22,385,,,
02ii,0.22,385,,,
02io,0.22,385,,,
02oi,0.22,385,,,
02oo,0.22,385,,,
03ii,0.22,385,,,
03io,0.22,385,,,
03oi,0.22,385,,,
03oo,0.22,385,,,
04ii,0.22,385,,,
04io,0.22,385,,,
04oi,0.22,385,,,
04oo,0.22,385,,,
05ii,0.22,385,,,
05io,0.22,385,,,
05oi,0.22,385,,,
05oo,0.22,385,,,
06ii,0.22,385,,,
06io,0.22,385,,,
06oi,0.22,385,,,
06oo,0.22,385,,,
07ii,0.22,385,,,
07io,0.22,385,,,
07oi,0.22,385,,,
07oo,0.22,385,,,
08ii,0.22,385,,,
08io,0.22,385,,,
08oi,0.22,385,,,
08oo,0.22,385,,,
09ii,0.22,385,,,
09io,0.22,385,,,
09oi,0.22,385,,,
09oo,0.22,385,,,
10ii,0.22,385,,,
10io,0.22,385,,,
10oi,0.22,385,,,
10oo,0.22,385,,,
11ii,0.22,385,,,
11io,0.22,385,,,
11oi,0.22,385,,,
11oo,0.22,385,,,
12ii,0.22,385,,,
12io,0.22,385,,,
12oi,0.22,385,,,
12oo,0.22,385,,,
13ii,0.22,385,,,
13io,0.22,385,,,
13oi,0.22,385,,,
13oo,0.22,385,,,
14ii,0.22,385,,,
14io,0.22,385,,,
14oi,0.22,385,,,
14oo,0.22,385,,,
15ii,0.22,385,,,
15io,0.22,385,,,
15oi,0.22,385,,,
15oo,0.22,385,,,
16ii,0.22,385,,,
16io,0.22,385,,,
16oi,0.22,385,,,
16oo,0.22,385,,,
17ii,0.22,385,,,
17io,0.22,385,,,
17oi,0.22,385,,,
17oo,0.22,385,,,
18ii,0.22,385,,,
18io,0.22,385,,,
18oi,0.22,385,,,
18oo,0.22,385,,,
19ii,0.22,385,,,
19io,0.22,385,,,
19oi,0.22,385,,,
19oo,0.22,385,,,
20ii,0.22,385,,,
20io,0.22,385,,,
20oi,0.22,385,,,
20oo,0.22,385,,,
21ii,0.22,385,,,
21io,0.22,385,,,
21oi,0.22,385,,,
21oo,0.22,385,,,
22ii,0.22,385,,,
22io,0.22,385,,,
22oi,0.22,385,,,
22oo,0.22,385,,,
23ii,0.22,385,,,
23io,0.22,385,,,
23oi,0.22,385,,,
23oo,0.22,385,,,
24ii,0.22,385,,,
24io,0.22,385,,,
24oi,0.22,385,,,
24oo,0.22,385,,,
