Straw Id,   Timestamp,    Worker ID,     Workstation Id,  Resistance(Ohms),  Temp(F),  Humidity(%), Measurement Type, Pass/Fail 
st00637, 2017/09/26 09:05:06, wb-ambrose01, wbs001, 273.4790094725129, 72.9, 51, inside-inside, fail
st00637, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00637, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00637, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 83.7314869033641, 72.9, 51, outside-outside, pass
st00638, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 245.02919790302832, 72.9, 51, inside-inside, pass
st00638, 2017/09/26 09:05:08, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00638, 2017/09/26 09:05:08, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00638, 2017/09/26 09:05:08, wb-ambrose01, wbs001, 83.30925076849695, 72.9, 51, outside-outside, pass
st00639, 2017/09/26 09:05:09, wb-ambrose01, wbs001, 171.8823141251758, 72.9, 51, inside-inside, pass
st00639, 2017/09/26 09:05:09, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00639, 2017/09/26 09:05:09, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00639, 2017/09/26 09:05:09, wb-ambrose01, wbs001, 138.86153284905697, 72.9, 51, outside-outside, pass
st00640, 2017/09/26 09:05:10, wb-ambrose01, wbs001, 202.85556995565258, 72.9, 51, inside-inside, pass
st00640, 2017/09/26 09:05:10, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00640, 2017/09/26 09:05:10, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00640, 2017/09/26 09:05:10, wb-ambrose01, wbs001, 102.18282415055137, 72.9, 51, outside-outside, pass
st00641, 2017/09/26 09:05:06, wb-ambrose01, wbs001, 280.6754366043825, 72.9, 51, inside-inside, fail
st00641, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00641, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00641, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 225.20440921156796, 72.9, 51, outside-outside, fail
st00642, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 207.37692296716415, 72.9, 51, inside-inside, pass
st00642, 2017/09/26 09:05:08, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00642, 2017/09/26 09:05:08, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00642, 2017/09/26 09:05:08, wb-ambrose01, wbs001, 144.5533213298899, 72.9, 51, outside-outside, pass
st00643, 2017/09/26 09:05:09, wb-ambrose01, wbs001, 340.1865238381346, 72.9, 51, inside-inside, fail
st00643, 2017/09/26 09:05:09, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00643, 2017/09/26 09:05:09, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00643, 2017/09/26 09:05:09, wb-ambrose01, wbs001, 104.26469088651794, 72.9, 51, outside-outside, pass
st00644, 2017/09/26 09:05:10, wb-ambrose01, wbs001, 179.28562647405744, 72.9, 51, inside-inside, pass
st00644, 2017/09/26 09:05:10, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00644, 2017/09/26 09:05:10, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00644, 2017/09/26 09:05:10, wb-ambrose01, wbs001, 206.26097374905663, 72.9, 51, outside-outside, fail
st00645, 2017/09/26 09:05:06, wb-ambrose01, wbs001, 202.85557003635807, 72.9, 51, inside-inside, pass
st00645, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00645, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00645, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 100.22539307327196, 72.9, 51, outside-outside, pass
st00646, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 223.9399287967497, 72.9, 51, inside-inside, pass
st00646, 2017/09/26 09:05:08, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00646, 2017/09/26 09:05:08, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00646, 2017/09/26 09:05:08, wb-ambrose01, wbs001, 139.87818279504506, 72.9, 51, outside-outside, pass
st00647, 2017/09/26 09:05:09, wb-ambrose01, wbs001, 225.5334123352692, 72.9, 51, inside-inside, pass
st00647, 2017/09/26 09:05:09, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00647, 2017/09/26 09:05:09, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00647, 2017/09/26 09:05:09, wb-ambrose01, wbs001, 162.51324083555392, 72.9, 51, outside-outside, fail
st00648, 2017/09/26 09:05:10, wb-ambrose01, wbs001, 289.08719122811544, 72.9, 51, inside-inside, fail
st00648, 2017/09/26 09:05:10, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00648, 2017/09/26 09:05:10, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00648, 2017/09/26 09:05:10, wb-ambrose01, wbs001, 148.28454737819493, 72.9, 51, outside-outside, pass
st00649, 2017/09/26 09:05:06, wb-ambrose01, wbs001, 219.03298943010742, 72.9, 51, inside-inside, pass
st00649, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00649, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00649, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 117.31590567333313, 72.9, 51, outside-outside, pass
st00650, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 247.49530767742897, 72.9, 51, inside-inside, pass
st00650, 2017/09/26 09:05:08, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00650, 2017/09/26 09:05:08, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00650, 2017/09/26 09:05:08, wb-ambrose01, wbs001, 269.12216150283587, 72.9, 51, outside-outside, fail
st00651, 2017/09/26 09:05:09, wb-ambrose01, wbs001, 285.4210475034359, 72.9, 51, inside-inside, fail
st00651, 2017/09/26 09:05:09, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00651, 2017/09/26 09:05:09, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00651, 2017/09/26 09:05:09, wb-ambrose01, wbs001, 100.22539311650115, 72.9, 51, outside-outside, pass
st00652, 2017/09/26 09:05:10, wb-ambrose01, wbs001, 271.8319324060424, 72.9, 51, inside-inside, fail
st00652, 2017/09/26 09:05:10, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00652, 2017/09/26 09:05:10, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00652, 2017/09/26 09:05:10, wb-ambrose01, wbs001, 117.79897028218392, 72.9, 51, outside-outside, pass
st00653, 2017/09/26 09:05:06, wb-ambrose01, wbs001, 252.92656190638877, 72.9, 51, inside-inside, fail
st00653, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, inside-outside, pass
st00653, 2017/09/26 09:05:07, wb-ambrose01, wbs001, inf, 72.9, 51, outside-inside, pass
st00653, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 126.06355123292155, 72.9, 51, outside-outside, pass
st00654, 2017/09/26 09:05:07, wb-ambrose01, wbs001, 270.5900390299985, 72.9, 51, inside-inside, fail
