Straw Id,   Timestamp,    Worker ID,     Workstation Id,  Resistance(Ohms),  Temp(F),  Humidity(%), Measurement Type, Pass/Fail 
st00685, 2017/10/03 11:27:01, wb-abid01, wsd-001,243.4405029,73.4,45, inside-inside, pass
st00685, 2017/10/03 10:04:39, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00685, 2017/10/03 10:04:39, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00685, 2017/10/03 10:04:40, wb-abid01, wsd-001,117.3875826,73.4,45, outside-outside, pass
st00686, 2017/10/03 10:04:38, wb-abid01, wsd-001,225.8595659,73.4,45, inside-inside, pass
st00686, 2017/10/03 10:04:38, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00686, 2017/10/03 10:04:38, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00686, 2017/10/03 10:04:38, wb-abid01, wsd-001,117.2745272,73.4,45, outside-outside, pass
st00687, 2017/10/03 11:37:16, wb-abid01, wsd-001,242.2950868,73.4,45, inside-inside, pass
st00687, 2017/10/03 10:04:37, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00687, 2017/10/03 10:04:37, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00687, 2017/10/03 11:21:47, wb-abid01, wsd-001,112.5883326,73.4,45, outside-outside, pass
st00688, 2017/10/03 10:04:36, wb-abid01, wsd-001,243.3948698,73.4,45, inside-inside, pass
st00688, 2017/10/03 10:04:36, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00688, 2017/10/03 10:04:36, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00688, 2017/10/03 10:04:36, wb-abid01, wsd-001,107.179435,73.4,45, outside-outside, pass
st00689, 2017/10/03 10:04:39, wb-abid01, wsd-001,243.1079977,73.4,45, inside-inside, pass
st00689, 2017/10/03 10:04:39, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00689, 2017/10/03 10:04:39, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00689, 2017/10/03 10:04:40, wb-abid01, wsd-001,114.2637088,73.4,45, outside-outside, pass
st00690, 2017/10/03 10:04:38, wb-abid01, wsd-001,240.3119471,73.4,45, inside-inside, pass
st00690, 2017/10/03 10:04:38, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00690, 2017/10/03 10:04:38, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00690, 2017/10/03 10:04:38, wb-abid01, wsd-001,133.436589,73.4,45, outside-outside, pass
st00691, 2017/10/03 11:36:03, wb-abid01, wsd-001,241.9528747,73.4,45, inside-inside, pass
st00691, 2017/10/03 10:04:37, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00691, 2017/10/03 10:04:37, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00691, 2017/10/03 11:17:20, wb-abid01, wsd-001,137.3492124,73.4,45, outside-outside, pass
st00692, 2017/10/03 10:05:08, wb-abid01, wsd-001,247.6473032,73.4,45, inside-inside, pass
st00692, 2017/10/03 10:04:36, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00692, 2017/10/03 10:04:36, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00692, 2017/10/03 10:04:36, wb-abid01, wsd-001,136.947892,73.4,45, outside-outside, pass
st00693, 2017/10/03 11:23:09, wb-abid01, wsd-001,239.2011232,73.4,45, inside-inside, pass
st00693, 2017/10/03 10:04:39, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00693, 2017/10/03 10:04:39, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00693, 2017/10/03 10:04:40, wb-abid01, wsd-001,129.1776568,73.4,45, outside-outside, pass
st00694, 2017/10/03 10:04:38, wb-abid01, wsd-001,232.9561808,73.4,45, inside-inside, pass
st00694, 2017/10/03 10:04:38, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
st00694, 2017/10/03 10:04:38, wb-abid01, wsd-001, inf,73.4,45, outside-inside, pass
st00694, 2017/10/03 11:17:21, wb-abid01, wsd-001,116.1162177,73.4,45, outside-outside, pass
st00695, 2017/10/03 10:04:37, wb-abid01, wsd-001,239.2025297,73.4,45, inside-inside, pass
st00695, 2017/10/03 10:04:37, wb-abid01, wsd-001, inf,73.4,45, inside-outside, pass
