Straw Id,   Timestamp,    Worker ID,     Workstation Id,  Resistance(Ohms),  Temp(F),  Humidity(%), Measurement Type, Pass/Fail 
st01021, 2017/11/22 14:54:38, wk-jchristy01, resistance,81.27575324,76.2,28, inside-inside,pass
st01021, 2017/11/22 14:53:49, wk-jchristy01, resistance, inf,76.2,28, inside-outside, pass
st01021, 2017/11/22 14:53:49, wk-jchristy01, resistance, inf,76.2,28, outside-inside, pass
st01021, 2017/11/22 14:53:49, wk-jchristy01, resistance,126.9805152,76.2,28, outside-outside, pass
st01022, 2017/11/22 14:54:39, wk-jchristy01, resistance,86.10036928,76.2,28, inside-inside,pass
st01022, 2017/11/22 14:53:50, wk-jchristy01, resistance, inf,76.2,28, inside-outside, pass
st01022, 2017/11/22 14:53:50, wk-jchristy01, resistance, inf,76.2,28, outside-inside, pass
st01022, 2017/11/22 14:54:20, wk-jchristy01, resistance,127.5954276,76.2,28, outside-outside, pass
st01023, 2017/11/22 14:54:40, wk-jchristy01, resistance,82.58929849,76.2,28, inside-inside, pass
st01023, 2017/11/22 14:53:51, wk-jchristy01, resistance, inf,76.2,28, inside-outside, pass
st01023, 2017/11/22 14:53:51, wk-jchristy01, resistance, inf,76.2,28, outside-inside, pass
st01023, 2017/11/22 14:53:51, wk-jchristy01, resistance,126.3216036,76.2,28, outside-outside, pass
st01024, 2017/11/22 14:53:52, wk-jchristy01, resistance,224.2334108,76.2,28, inside-inside, pass
st01024, 2017/11/22 14:53:52, wk-jchristy01, resistance, inf,76.2,28, inside-outside, pass
st01024, 2017/11/22 14:53:52, wk-jchristy01, resistance, inf,76.2,28, outside-inside, pass
st01024, 2017/11/22 14:53:53, wk-jchristy01, resistance,141.0440298,76.2,28, outside-outside, pass
st01025, 2017/11/22 14:54:06, wk-jchristy01, resistance,218.6950959,76.2,28, inside-inside, pass
st01025, 2017/11/22 14:54:39, wk-jchristy01, resistance,261.9348426,76.2,28, inside-outside,pass
st01025, 2017/11/22 14:54:39, wk-jchristy01, resistance,119.5042453,76.2,28, outside-inside,pass
st01025, 2017/11/22 14:54:07, wk-jchristy01, resistance,126.0969886,76.2,28, outside-outside, pass
st01026, 2017/11/22 14:53:50, wk-jchristy01, resistance,202.7668281,76.2,28, inside-inside, pass
st01026, 2017/11/22 14:53:50, wk-jchristy01, resistance, inf,76.2,28, inside-outside, pass
st01026, 2017/11/22 14:53:50, wk-jchristy01, resistance, inf,76.2,28, outside-inside, pass
st01026, 2017/11/22 14:53:50, wk-jchristy01, resistance,123.4578821,76.2,28, outside-outside, pass
st01027, 2017/11/22 14:53:51, wk-jchristy01, resistance,168.4323862,76.2,28, inside-inside, pass
