Straw Id,   Timestamp,    Worker ID,     Workstation Id,  Resistance(Ohms),  Temp(F),  Humidity(%), Measurement Type, Pass/Fail 
st00318, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, 194.47258364312268, 73.2, 48, inside-inside, pass
st00316, 2017/09/20 15:33:50, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00328, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 179.483144818428, 73.2, 48, inside-inside, pass
st00334, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00320, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 189.59668273644428, 73.2, 48, inside-inside, pass
st00315, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00330, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 106.39324688878372, 73.2, 48, outside-outside, pass
st00326, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, 197.7709029041979, 73.2, 48, inside-inside, pass
st00314, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00316, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 262.9372696556526, 73.2, 48, inside-inside, fail
st00326, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 60.79527308044402, 73.2, 48, outside-outside, pass
st00329, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00333, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, 252.03166172044507, 73.2, 48, inside-inside, fail
st00322, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 96.08063818839389, 73.2, 48, outside-outside, pass
st00317, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, 53.15913799749535, 73.2, 48, outside-outside, pass
st00313, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00330, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00323, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 195.6414681562448, 73.2, 48, inside-inside, pass
st00332, 2017/09/20 15:33:50, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00316, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
