Straw Id,   Timestamp,    Worker ID,     Workstation Id,  Resistance(Ohms),  Temp(F),  Humidity(%), Measurement Type, Pass/Fail 
st00637, 2017/09/26 09:03:39, wb-ambrose01, wsb001, 314.73950854719254, 72.9, 51, inside-inside, fail
st00637, 2017/09/26 09:03:39, wb-ambrose01, wsb001, inf, 72.9, 51, inside-outside, pass
st00637, 2017/09/26 09:03:39, wb-ambrose01, wsb001, inf, 72.9, 51, outside-inside, pass
st00637, 2017/09/26 09:03:39, wb-ambrose01, wsb001, 108.64843775768219, 72.9, 51, outside-outside, pass
st00638, 2017/09/26 09:03:40, wb-ambrose01, wsb001, 205.41404837856675, 72.9, 51, inside-inside, pass
st00638, 2017/09/26 09:03:40, wb-ambrose01, wsb001, inf, 72.9, 51, inside-outside, pass
st00638, 2017/09/26 09:03:40, wb-ambrose01, wsb001, inf, 72.9, 51, outside-inside, pass
st00638, 2017/09/26 09:03:41, wb-ambrose01, wsb001, 163.46106715108039, 72.9, 51, outside-outside, fail
st00639, 2017/09/26 09:03:41, wb-ambrose01, wsb001, 352.855347917192, 72.9, 51, inside-inside, fail
st00639, 2017/09/26 09:03:41, wb-ambrose01, wsb001, inf, 72.9, 51, inside-outside, pass
st00639, 2017/09/26 09:03:41, wb-ambrose01, wsb001, inf, 72.9, 51, outside-inside, pass
st00639, 2017/09/26 09:03:42, wb-ambrose01, wsb001, 89.92317046544747, 72.9, 51, outside-outside, pass
st00640, 2017/09/26 09:03:42, wb-ambrose01, wsb001, 236.4248504601299, 72.9, 51, inside-inside, pass
st00640, 2017/09/26 09:03:42, wb-ambrose01, wsb001, inf, 72.9, 51, inside-outside, pass
st00640, 2017/09/26 09:03:42, wb-ambrose01, wsb001, inf, 72.9, 51, outside-inside, pass
st00640, 2017/09/26 09:03:43, wb-ambrose01, wsb001, 288.86560263280575, 72.9, 51, outside-outside, fail
st00641, 2017/09/26 09:03:39, wb-ambrose01, wsb001, 285.8699127, 72.9, 51, inside-inside, fail
st00641, 2017/09/26 09:03:39, wb-ambrose01, wsb001, inf, 72.9, 51, inside-outside, pass
