*Vin, 5V*,,,,
8,5,,,,
*R0, R1, R2, R3, R4, R5*
510,510,510,510,510,510
*Measurement, % Error, Device_Resistance*,,,
01ii,0.201330483,383.6367856,,,
01io,0.20667101,383.0088501,,,
01oi,0.110637903,344.5052786,,,
01oo,0.220355823,388.1072879,,,
02ii,0.116080773,342.31087,,,
02io,0.2,380,,,
02oi,0.192717359,382.7180745,,,
02oo,0.2,380,,,
03ii,0.210384474,380.0087261,,,
03io,0.207746753,380.3335169,,,
03oi,0.221399342,385.3861265,,,
03oo,0.21880089,385.7167336,,,
04ii,0.181482133,363.5225806,,,
04io,0.181482133,363.5225806,,,
04oi,0.211956194,379.1729776,,,
04oo,0.209328133,379.5008988,,,
05ii,0.2,380,,,
05io,0.2,380,,,
05oi,0.2,380,,,
05oo,0.103745808,396.2427827,,,
06ii,0.2,380,,,
06io,0.180640358,449.4380468,,,
06oi,0.2,380,,,
06oo,0.2,380,,,
07ii,0.150700549,421.5453466,,,
07io,0.125114566,402.6540323,,,
07oi,0.2,380,,,
07oo,0.2,380,,,
08ii,0.2,380,,,
08io,0.2,380,,,
08oi,0.2,380,,,
08oo,0.185629826,446.7724541,,,
09ii,0.116409645,389.1021362,,,
09io,0.110234126,383.2697252,,,
09oi,0.2,380,,,
09oo,0.2,380,,,
10ii,0.126850922,388.9780345,,,
10io,0.15210396,413.7957816,,,
10oi,0.111420481,383.7815673,,,
10oo,0.233166757,478.3053721,,,
11ii,0.138542977,394.2587645,,,
11io,0.135515743,394.4812727,,,
11oi,0.150771549,399.9373827,,,
11oo,0.126268434,388.7186491,,,
12ii,0.119551075,382.61872,,,
12io,0.119551075,382.61872,,,
12oi,0.169333643,418.9714476,,,
12oo,0.166395288,419.1901449,,,
13ii,0.113936419,378.6443467,,,
13io,0.138266692,389.3378561,,,
13oi,0.117026789,378.4203184,,,
13oo,0.123159138,377.9617605,,,
14ii,0.120352622,375.2150817,,,
14io,0.1758553,417.1753323,,,
14oi,0.114211439,375.677545,,,
14oo,0.161210325,447.9139477,,,
15ii,0.13568642,378.7530466,,,
15io,0.108724149,368.8028621,,,
15oi,0.138669553,378.5070381,,,
15oo,0.12679858,373.359962,,,
16ii,0.128187273,370.8908044,,,
16io,0.113241121,366.1416104,,,
16oi,0.2,380,,,
16oo,0.203255411,498.6250959,,,
17ii,0.106175742,372.2992134,,,
17io,0.109285399,372.0730838,,,
17oi,0.189024717,425.677566,,,
17oo,0.109285399,372.0730838,,,
18ii,0.117166038,376.9351673,,,
18io,0.10185301,372.0253924,,,
18oi,0.113947659,383.3120305,,,
18oo,0.101580391,378.0341409,,,
19ii,0.105890582,366.1279206,,,
19io,0.2,380,,,
19oi,0.117929792,371.1264965,,,
19oo,0.176263648,419.0815516,,,
20ii,0.105890582,366.1279206,,,
20io,0.120977237,370.8867173,,,
20oi,0.2,380,,,
20oo,0.2,380,,,
21ii,0.120508556,366.1403601,,,
21io,0.12653411,365.6377617,,,
21oi,0.2,380,,,
21oo,0.2,380,,,
22ii,0.265500494,466.2039212,,,
22io,0.120605595,364.6740458,,,
22oi,0.168334445,398.4977273,,,
22oo,0.117574962,364.9228057,,,
23ii,0.125040366,359.0228638,,,
23io,0.125040366,359.0228638,,,
23oi,0.136678548,363.8640933,,,
23oo,0.21318043,416.0663556,,,
24ii,0.119969959,354.0038745,,,
24io,0.143103718,363.5636705,,,
24oi,0.2,380,,,
24oo,0.2,380,,,
