st00613,       09/21/2017 09:34:22,   wb-ckampa01,         wsb-001,202.420357,72.9,43,   inside-inside
st00613,       09/21/2017 09:34:22,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00613,       09/21/2017 09:34:22,   wb-ckampa01,         wsb-001,96.8161154,72.9,43,   outside-outside
st00613,       09/21/2017 09:34:22,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00614,       09/21/2017 09:35:18,   wb-ckampa01,         wsb-001,199.799605,72.9,43,   inside-inside
st00614,       09/21/2017 09:35:18,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00614,       09/21/2017 09:35:18,   wb-ckampa01,         wsb-001,101.056776,72.9,43,   outside-outside
st00614,       09/21/2017 09:35:18,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00615,       09/21/2017 09:36:04,   wb-ckampa01,         wsb-001,200.598216,72.9,43,   inside-inside
st00615,       09/21/2017 09:36:04,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00615,       09/21/2017 09:36:04,   wb-ckampa01,         wsb-001,102.638154,72.9,43,   outside-outside
st00615,       09/21/2017 09:36:04,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00616,       09/21/2017 09:36:54,   wb-ckampa01,         wsb-001,205.416635,72.9,43,   inside-inside
st00616,       09/21/2017 09:36:54,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00616,       09/21/2017 09:36:54,   wb-ckampa01,         wsb-001,97.8370886,72.9,43,   outside-outside
st00616,       09/21/2017 09:36:54,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00617,       09/21/2017 09:37:41,   wb-ckampa01,         wsb-001,198.259816,72.9,43,   inside-inside
st00617,       09/21/2017 09:37:41,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00617,       09/21/2017 09:37:41,   wb-ckampa01,         wsb-001,100.181797,72.9,43,   outside-outside
st00617,       09/21/2017 09:37:41,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00618,       09/21/2017 09:38:28,   wb-ckampa01,         wsb-001,198.924507,72.9,43,   inside-inside
