st00637,       09/26/2017 09:15:21,   wb-ckampa01,         wsb-001,   202.071436,   71.9,   51,   inside-inside
st00637,       09/26/2017 09:15:21,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00637,       09/26/2017 09:15:21,   wb-ckampa01,         wsb-001,   97.0983948,   71.9,   51,   outside-outside
st00637,       09/26/2017 09:15:21,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00638,       09/26/2017 09:16:07,   wb-ckampa01,         wsb-001,   199.570919,   71.9,   51,   inside-inside
st00638,       09/26/2017 09:16:07,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00638,       09/26/2017 09:16:07,   wb-ckampa01,         wsb-001,   97.5422495,   71.9,   51,   outside-outside
st00638,       09/26/2017 09:16:07,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00639,       09/26/2017 09:16:52,   wb-ckampa01,         wsb-001,   202.346872,   71.9,   51,   inside-inside
st00639,       09/26/2017 09:16:52,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00639,       09/26/2017 09:16:52,   wb-ckampa01,         wsb-001,   99.8052675,   71.9,   51,   outside-outside
st00639,       09/26/2017 09:16:52,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00640,       09/26/2017 09:17:56,   wb-ckampa01,         wsb-001,   200.10315,   71.9,   51,   inside-inside
st00640,       09/26/2017 09:17:56,   wb-ckampa01,         wsb-001,   206.569877,   71.9,   51,   inside-outside
st00640,       09/26/2017 09:17:56,   wb-ckampa01,         wsb-001,   101.15523,   71.9,   51,   outside-outside
st00640,       09/26/2017 09:17:56,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00641,       09/26/2017 09:18:42,   wb-ckampa01,         wsb-001,   196.141252,   71.9,   51,   inside-inside
st00641,       09/26/2017 09:18:42,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00641,       09/26/2017 09:18:42,   wb-ckampa01,         wsb-001,   110.282562,   71.9,   51,   outside-outside
st00641,       09/26/2017 09:18:42,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00642,       09/26/2017 09:19:28,   wb-ckampa01,         wsb-001,   204.314673,   71.9,   51,   inside-inside
st00642,       09/26/2017 09:19:28,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00642,       09/26/2017 09:19:28,   wb-ckampa01,         wsb-001,   100.500805,   71.9,   51,   outside-outside
st00642,       09/26/2017 09:19:28,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00643,       09/26/2017 09:20:46,   wb-ckampa01,         wsb-001,   202.548433,   71.9,   51,   inside-inside
st00643,       09/26/2017 09:20:46,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00643,       09/26/2017 09:20:46,   wb-ckampa01,         wsb-001,   98.7897176,   71.9,   51,   outside-outside
st00643,       09/26/2017 09:20:46,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00644,       09/26/2017 09:21:28,   wb-ckampa01,         wsb-001,   198.196905,   71.9,   51,   inside-inside
st00644,       09/26/2017 09:21:28,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00644,       09/26/2017 09:21:28,   wb-ckampa01,         wsb-001,   101.90361,   71.9,   51,   outside-outside
st00644,       09/26/2017 09:21:28,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00645,       09/26/2017 09:22:11,   wb-ckampa01,         wsb-001,   204.836948,   71.9,   51,   inside-inside
st00645,       09/26/2017 09:22:11,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00645,       09/26/2017 09:22:11,   wb-ckampa01,         wsb-001,   97.3871091,   71.9,   51,   outside-outside
st00645,       09/26/2017 09:22:11,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00646,       09/26/2017 09:22:55,   wb-ckampa01,         wsb-001,   201.514735,   71.9,   51,   inside-inside
st00646,       09/26/2017 09:22:55,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00646,       09/26/2017 09:22:55,   wb-ckampa01,         wsb-001,   98.185406,   71.9,   51,   outside-outside
st00646,       09/26/2017 09:22:55,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00647,       09/26/2017 09:23:38,   wb-ckampa01,         wsb-001,   200.085402,   71.9,   51,   inside-inside
st00647,       09/26/2017 09:23:38,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00647,       09/26/2017 09:23:38,   wb-ckampa01,         wsb-001,   101.973586,   71.9,   51,   outside-outside
st00647,       09/26/2017 09:23:38,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00648,       09/26/2017 09:24:23,   wb-ckampa01,         wsb-001,   202.165934,   71.9,   51,   inside-inside
st00648,       09/26/2017 09:24:23,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00648,       09/26/2017 09:24:23,   wb-ckampa01,         wsb-001,   97.4385038,   71.9,   51,   outside-outside
st00648,       09/26/2017 09:24:23,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00649,       09/26/2017 09:25:06,   wb-ckampa01,         wsb-001,   196.103765,   71.9,   51,   inside-inside
st00649,       09/26/2017 09:25:06,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
