ST00566,       06/20/2017 14:47:55,   wb0001,         wsb0001,   197.719814,   73.0,   42.5,   inside-inside
ST00566,       06/20/2017 14:47:55,   wb0001,         wsb0001,   98.0248054,   73.0,   42.5,   outside-outside
ST00566,       06/20/2017 14:47:55,   wb0001,         wsb0001,   inf,   73.0,   42.5,   inside-outside
ST00566,       06/20/2017 14:47:55,   wb0001,         wsb0001,   inf,   73.0,   42.5,   outside-inside

ST00567,       06/20/2017 15:16:55,   wb0001,         wsb0001,   196.910778,   73,   42,   inside-inside
ST00567,       06/20/2017 15:16:55,   wb0001,         wsb0001,   100.82036,   73,   42,   outside-outside
ST00567,       06/20/2017 15:16:55,   wb0001,         wsb0001,   inf,   73,   42,   inside-outside
ST00567,       06/20/2017 15:16:55,   wb0001,         wsb0001,   inf,   73,   42,   outside-inside

ST00568,       06/20/2017 15:20:39,   wb0001,         wsb0001,   200.981543,   73,   42,   inside-inside
ST00568,       06/20/2017 15:20:39,   wb0001,         wsb0001,   100.132178,   73,   42,   outside-outside
ST00568,       06/20/2017 15:20:39,   wb0001,         wsb0001,   inf,   73,   42,   inside-outside
ST00568,       06/20/2017 15:20:39,   wb0001,         wsb0001,   inf,   73,   42,   outside-inside

