ST00590,       06/29/2017 14:37:56,   WK-JCHRISTY01,         WK-JCHRISTY01,   235.56563,   74,   50,   inside-inside
ST00590,       06/29/2017 14:37:56,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00590,       06/29/2017 14:37:56,   WK-JCHRISTY01,         WK-JCHRISTY01,   106.427168,   74,   50,   outside-outside
ST00590,       06/29/2017 14:37:56,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00591,       06/29/2017 14:39:55,   WK-JCHRISTY01,         WK-JCHRISTY01,   202.667361,   74,   50,   inside-inside
ST00591,       06/29/2017 14:39:55,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00591,       06/29/2017 14:39:55,   WK-JCHRISTY01,         WK-JCHRISTY01,   113.179167,   74,   50,   outside-outside
ST00591,       06/29/2017 14:39:55,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00592,       06/29/2017 14:41:09,   WK-JCHRISTY01,         WK-JCHRISTY01,   200.763918,   74,   50,   inside-inside
ST00592,       06/29/2017 14:41:09,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00592,       06/29/2017 14:41:09,   WK-JCHRISTY01,         WK-JCHRISTY01,   119.669697,   74,   50,   outside-outside
ST00592,       06/29/2017 14:41:09,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00593,       06/29/2017 14:43:26,   WK-JCHRISTY01,         WK-JCHRISTY01,   198.926348,   74,   50,   inside-inside
ST00593,       06/29/2017 14:43:26,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00593,       06/29/2017 14:43:26,   WK-JCHRISTY01,         WK-JCHRISTY01,   101.352477,   74,   50,   outside-outside
ST00593,       06/29/2017 14:43:26,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00594,       06/29/2017 14:44:39,   WK-JCHRISTY01,         WK-JCHRISTY01,   200.223985,   74,   50,   inside-inside
ST00594,       06/29/2017 14:44:39,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00594,       06/29/2017 14:44:39,   WK-JCHRISTY01,         WK-JCHRISTY01,   105.513612,   74,   50,   outside-outside
ST00594,       06/29/2017 14:44:39,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00595,       06/29/2017 14:48:09,   WK-JCHRISTY01,         WK-JCHRISTY01,   201.548238,   74,   50,   inside-inside
ST00595,       06/29/2017 14:48:09,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00595,       06/29/2017 14:48:09,   WK-JCHRISTY01,         WK-JCHRISTY01,   102.99845,   74,   50,   outside-outside
ST00595,       06/29/2017 14:48:09,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00596,       06/29/2017 14:49:16,   WK-JCHRISTY01,         WK-JCHRISTY01,   194.834362,   74,   50,   inside-inside
ST00596,       06/29/2017 14:49:16,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00596,       06/29/2017 14:49:16,   WK-JCHRISTY01,         WK-JCHRISTY01,   102.606515,   74,   50,   outside-outside
ST00596,       06/29/2017 14:49:16,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00597,       06/29/2017 14:50:02,   WK-JCHRISTY01,         WK-JCHRISTY01,   204.559969,   74,   50,   inside-inside
ST00597,       06/29/2017 14:50:02,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00597,       06/29/2017 14:50:02,   WK-JCHRISTY01,         WK-JCHRISTY01,   98.921097,   74,   50,   outside-outside
ST00597,       06/29/2017 14:50:02,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00598,       06/29/2017 14:52:25,   WK-JCHRISTY01,         WK-JCHRISTY01,   197.814391,   74,   50,   inside-inside
ST00598,       06/29/2017 14:52:25,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00598,       06/29/2017 14:52:25,   WK-JCHRISTY01,         WK-JCHRISTY01,   103.540091,   74,   50,   outside-outside
ST00598,       06/29/2017 14:52:25,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00599,       06/29/2017 14:55:57,   WK-JCHRISTY01,         WK-JCHRISTY01,   254.825057,   74,   50,   inside-inside
ST00599,       06/29/2017 14:55:57,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00599,       06/29/2017 14:55:57,   WK-JCHRISTY01,         WK-JCHRISTY01,   100.377868,   74,   50,   outside-outside
ST00599,       06/29/2017 14:55:57,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00600,       06/29/2017 14:56:39,   WK-JCHRISTY01,         WK-JCHRISTY01,   202.680283,   74,   50,   inside-inside
ST00600,       06/29/2017 14:56:39,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00600,       06/29/2017 14:56:39,   WK-JCHRISTY01,         WK-JCHRISTY01,   101.388817,   74,   50,   outside-outside
ST00600,       06/29/2017 14:56:39,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00601,       06/29/2017 14:57:17,   WK-JCHRISTY01,         WK-JCHRISTY01,   198.245688,   74,   50,   inside-inside
ST00601,       06/29/2017 14:57:17,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00601,       06/29/2017 14:57:17,   WK-JCHRISTY01,         WK-JCHRISTY01,   97.3892428,   74,   50,   outside-outside
ST00601,       06/29/2017 14:57:17,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00603,       06/29/2017 14:58:03,   WK-JCHRISTY01,         WK-JCHRISTY01,   200.258995,   74,   50,   inside-inside
ST00603,       06/29/2017 14:58:03,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00603,       06/29/2017 14:58:03,   WK-JCHRISTY01,         WK-JCHRISTY01,   105.28965,   74,   50,   outside-outside
ST00603,       06/29/2017 14:58:03,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00604,       06/29/2017 14:59:19,   WK-JCHRISTY01,         WK-JCHRISTY01,   202.647313,   74,   50,   inside-inside
ST00604,       06/29/2017 14:59:19,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00604,       06/29/2017 14:59:19,   WK-JCHRISTY01,         WK-JCHRISTY01,   101.38569,   74,   50,   outside-outside
ST00604,       06/29/2017 14:59:19,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00605,       06/29/2017 15:00:23,   WK-JCHRISTY01,         WK-JCHRISTY01,   208.593966,   74,   50,   inside-inside
ST00605,       06/29/2017 15:00:23,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00605,       06/29/2017 15:00:23,   WK-JCHRISTY01,         WK-JCHRISTY01,   105.89509,   74,   50,   outside-outside
ST00605,       06/29/2017 15:00:23,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00606,       06/29/2017 15:01:07,   WK-JCHRISTY01,         WK-JCHRISTY01,   201.991088,   74,   50,   inside-inside
ST00606,       06/29/2017 15:01:07,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00606,       06/29/2017 15:01:07,   WK-JCHRISTY01,         WK-JCHRISTY01,   101.920698,   74,   50,   outside-outside
