straw,intended length (in.),measured length (in), measured - intended (in) ,worker id1, worker id2, time (yyyy-mm-dd_HHMMSS)
st00001,47.5234,48.0938,0.5704,jklj,jkljlkjlk,2018-05-02_101924
st00002,46.9002,48.1094,1.2092,jklj,jkljlkjlk,2018-05-02_101924
,46.2479,,,jklj,jkljlkjlk,2018-05-02_101924
,45.5651,,,jklj,jkljlkjlk,2018-05-02_101924
,44.8505,,,jklj,jkljlkjlk,2018-05-02_101924
,44.1025,,,jklj,jkljlkjlk,2018-05-02_101924
,43.3193,,,jklj,jkljlkjlk,2018-05-02_101924
,42.4991,,,jklj,jkljlkjlk,2018-05-02_101924
,41.6395,,,jklj,jkljlkjlk,2018-05-02_101924
,40.7382,,,jklj,jkljlkjlk,2018-05-02_101924
,39.7922,,,jklj,jkljlkjlk,2018-05-02_101924
,38.7983,,,jklj,jkljlkjlk,2018-05-02_101924
,37.7526,,,jklj,jkljlkjlk,2018-05-02_101924
,36.6507,,,jklj,jkljlkjlk,2018-05-02_101924
,35.4874,,,jklj,jkljlkjlk,2018-05-02_101924
,34.2563,,,jklj,jkljlkjlk,2018-05-02_101924
,32.9498,,,jklj,jkljlkjlk,2018-05-02_101924
,31.5584,,,jklj,jkljlkjlk,2018-05-02_101924
,30.0703,,,jklj,jkljlkjlk,2018-05-02_101924
,28.4702,,,jklj,jkljlkjlk,2018-05-02_101924
,26.7378,,,jklj,jkljlkjlk,2018-05-02_101924
,24.8452,,,jklj,jkljlkjlk,2018-05-02_101924
,22.7522,,,jklj,jkljlkjlk,2018-05-02_101924
,20.8654,,,jklj,jkljlkjlk,2018-05-02_101924
