2018-02-17_000011,22.98,27.78,1518847211.03125
2018-02-17_000021,22.96,27.75,1518847221.03125
2018-02-17_000031,22.96,27.77,1518847231.03125
2018-02-17_000041,22.98,27.71,1518847241.03125
2018-02-17_000051,22.96,27.72,1518847251.03125
2018-02-17_000101,22.96,27.71,1518847261.03125
2018-02-17_000111,22.96,27.71,1518847271.03125
2018-02-17_000121,22.95,27.69,1518847281.03125
2018-02-17_000131,22.96,27.66,1518847291.03125
2018-02-17_000141,22.96,27.66,1518847301.03125
2018-02-17_000151,22.96,27.64,1518847311.03125
2018-02-17_000201,22.98,27.64,1518847321.03125
2018-02-17_000211,22.95,27.64,1518847331.03125
2018-02-17_000221,22.96,27.63,1518847341.03125
2018-02-17_000231,22.96,27.60,1518847351.03125
2018-02-17_000241,22.96,27.58,1518847361.03125
2018-02-17_000251,22.95,27.58,1518847371.03125
2018-02-17_000301,22.96,27.57,1518847381.03125
2018-02-17_000311,22.94,27.51,1518847391.03125
2018-02-17_000321,22.95,27.56,1518847401.03125
2018-02-17_000331,22.95,27.56,1518847411.03125
2018-02-17_000341,22.95,27.51,1518847421.03125
2018-02-17_000351,22.94,27.50,1518847431.03125
2018-02-17_000401,22.95,27.45,1518847441.03125
2018-02-17_000411,22.96,27.51,1518847451.03125
2018-02-17_000421,22.94,27.50,1518847461.03125
2018-02-17_000431,22.94,27.41,1518847471.03125
2018-02-17_000441,22.94,27.41,1518847481.03125
2018-02-17_000451,22.95,27.41,1518847491.03125
2018-02-17_000501,22.95,27.38,1518847501.03125
2018-02-17_000511,22.95,27.38,1518847511.03125
2018-02-17_000521,22.96,27.35,1518847521.03125
2018-02-17_000531,22.96,27.37,1518847531.03125
2018-02-17_000541,22.96,27.31,1518847541.03125
2018-02-17_000551,22.96,27.26,1518847551.03125
2018-02-17_000601,22.95,27.24,1518847561.03125
2018-02-17_000611,22.94,27.25,1518847571.03125
2018-02-17_000621,22.95,27.29,1518847581.03125
2018-02-17_000631,22.95,27.22,1518847591.03125
2018-02-17_000641,22.94,27.23,1518847601.03125
2018-02-17_000651,22.92,27.23,1518847611.03125
2018-02-17_000701,22.94,27.22,1518847621.03125
2018-02-17_000711,22.95,27.18,1518847631.03125
2018-02-17_000721,22.94,27.14,1518847641.03125
2018-02-17_000731,22.94,27.14,1518847651.03125
2018-02-17_000741,22.92,27.15,1518847661.03125
2018-02-17_000751,22.94,27.10,1518847671.03125
2018-02-17_000801,22.92,27.05,1518847681.03125
2018-02-17_000811,22.94,27.02,1518847691.03125
2018-02-17_000821,22.92,26.97,1518847701.03125
2018-02-17_000831,22.95,27.04,1518847711.03125
2018-02-17_000841,22.95,27.06,1518847721.03125
2018-02-17_000851,22.94,26.99,1518847731.03125
2018-02-17_000901,22.92,26.98,1518847741.03125
2018-02-17_000911,22.91,26.98,1518847751.03125
2018-02-17_000921,22.94,26.90,1518847761.03125
2018-02-17_000931,22.92,26.92,1518847771.03125
2018-02-17_000941,22.92,26.86,1518847781.03125
2018-02-17_000951,22.94,26.87,1518847791.03125
2018-02-17_001001,22.92,26.84,1518847801.03125
2018-02-17_001011,22.92,26.84,1518847811.03125
2018-02-17_001021,22.94,26.77,1518847821.03125
2018-02-17_001031,22.92,26.84,1518847831.03125
2018-02-17_001041,22.92,26.86,1518847841.03125
2018-02-17_001051,22.94,26.83,1518847851.03125
2018-02-17_001101,22.92,26.83,1518847861.03125
2018-02-17_001111,22.95,26.74,1518847871.03125
2018-02-17_001121,22.92,26.74,1518847881.03125
2018-02-17_001131,22.92,26.74,1518847891.03125
