epoch time (s), temp (F), RH (%)
1515528289, 0.00,0.00

1515528290, 0.00,0.00

1515528291, 0.00,0.00

1515528292, 0.00,0.00

1515528293, 0.00,0.00

1515528294, 0.00,0.00

1515528295, 0.00,0.00

1515528296, 0.00,0.00

1515528297, 0.00,0.00

1515528298, 0.00,0.00

1515528299, 0.00,0.00

1515528300, 0.00,0.00

1515528301, 0.00,0.00

1515528302, 0.00,0.00

1515528303, 0.00,0.00

1515528304, 0.00,0.00

1515528305, 0.00,0.00

1515528306, 0.00,0.00

1515528307, 0.00,0.00

1515528308, 0.00,0.00

1515528309, 0.00,0.00

1515528310, 0.00,0.00

1515528311, 0.00,0.00

1515528312, 0.00,0.00

1515528313, 0.00,0.00

1515528314, 0.00,0.00

1515528315, 0.00,0.00

1515528316, 0.00,0.00

1515528317, 0.00,0.00

1515528318, 0.00,0.00

1515528319, 0.00,0.00

1515528320, 0.00,0.00

1515528321, 0.00,0.00

1515528322, 0.00,0.00

1515528323, 0.00,0.00

1515528324, 0.00,0.00

1515528325, 0.00,0.00

1515528326, 0.00,0.00

1515528327, 0.00,0.00

1515528328, 0.00,0.00

1515528329, 0.00,0.00

1515528330, 0.00,0.00

1515528331, 0.00,0.00

1515528332, 0.00,0.00

1515528333, 0.00,0.00

1515528334, 0.00,0.00

1515528335, 0.00,0.00

1515528336, 0.00,0.00

1515528337, 0.00,0.00

1515528338, 0.00,0.00

1515528339, 0.00,0.00

1515528340, 0.00,0.00

1515528341, 0.00,0.00

1515528342, 0.00,0.00

1515528343, 0.00,0.00

1515528344, 0.00,0.00

1515528345, 0.00,0.00

1515528346, 0.00,0.00

1515528347, 0.00,0.00

1515528348, 0.00,0.00

1515528349, 0.00,0.00

1515528350, 0.00,0.00

1515528351, 0.00,0.00

1515528352, 0.00,0.00

1515528353, 0.00,0.00

1515528354, 0.00,0.00

1515528355, 0.00,0.00

1515528356, 0.00,0.00

1515528357, 0.00,0.00

1515528358, 0.00,0.00

1515528359, 0.00,0.00

1515528360, 0.00,0.00

1515528361, 0.00,0.00

1515528362, 0.00,0.00

1515528363, 0.00,0.00

1515528364, 0.00,0.00

1515528365, 0.00,0.00

1515528366, 0.00,0.00

