date, temp (C), RH (%), epoch time (s)
2018-03-06_102431,24.41,25.22,1520353471.968343
2018-03-06_102441,24.38,25.26,1520353481.968357
2018-03-06_102451,24.42,25.26,1520353491.968371
2018-03-06_102501,24.39,25.29,1520353501.968385
2018-03-06_102511,24.39,25.28,1520353511.968399
2018-03-06_102521,24.41,25.33,1520353521.968413
2018-03-06_102531,24.41,25.42,1520353531.968427
2018-03-06_102541,24.39,25.37,1520353541.968441
2018-03-06_102551,24.41,25.43,1520353551.968455
2018-03-06_102601,24.41,25.36,1520353561.968469
2018-03-06_102611,24.41,25.35,1520353571.968483
2018-03-06_102621,24.41,25.39,1520353581.968497
2018-03-06_102631,24.41,25.42,1520353591.968511
2018-03-06_102641,24.41,25.39,1520353601.968525
2018-03-06_102651,24.39,25.42,1520353611.968539
2018-03-06_102701,24.41,25.39,1520353621.968553
2018-03-06_102711,24.42,25.40,1520353631.968567
2018-03-06_102721,24.42,25.43,1520353641.968581
2018-03-06_102731,24.38,25.40,1520353651.968595
2018-03-06_102741,24.41,25.42,1520353661.968609
2018-03-06_102751,24.41,25.43,1520353671.968623
2018-03-06_102801,24.42,25.44,1520353681.968637
2018-03-06_102811,24.41,25.48,1520353691.968651
2018-03-06_102821,24.39,25.50,1520353701.968665
2018-03-06_102831,24.42,25.47,1520353711.968679
2018-03-06_102841,24.41,25.50,1520353721.968693
2018-03-06_102851,24.41,25.54,1520353731.968707
2018-03-06_102901,24.41,25.54,1520353741.968721
2018-03-06_102911,24.42,25.50,1520353751.968735
2018-03-06_102921,24.42,25.55,1520353761.968749
2018-03-06_102931,24.42,25.58,1520353771.968763
2018-03-06_102941,24.41,25.55,1520353781.968777
2018-03-06_102951,24.42,25.58,1520353791.968791
2018-03-06_103001,24.42,25.61,1520353801.968805
2018-03-06_103011,24.42,25.61,1520353811.968819
2018-03-06_103021,24.42,25.62,1520353821.968833
2018-03-06_103031,24.42,25.64,1520353831.968847
2018-03-06_103041,24.42,25.64,1520353841.968861
2018-03-06_103051,24.42,25.64,1520353851.968875
2018-03-06_103101,24.44,25.67,1520353861.968889
2018-03-06_103111,24.44,25.68,1520353871.968903
2018-03-06_103121,24.41,25.72,1520353881.968917
2018-03-06_103131,24.42,25.69,1520353891.968931
2018-03-06_103141,24.42,25.72,1520353901.968945
2018-03-06_103151,24.42,25.74,1520353911.968959
2018-03-06_103201,24.42,25.72,1520353921.968973
2018-03-06_103211,24.44,25.72,1520353931.968987
2018-03-06_103221,24.44,25.72,1520353941.969001
2018-03-06_103231,24.44,25.75,1520353951.969015
2018-03-06_103241,24.44,25.75,1520353961.969029
2018-03-06_103251,24.45,25.78,1520353971.969043
2018-03-06_103301,24.44,25.81,1520353981.969057
2018-03-06_103311,24.44,25.80,1520353991.969071
2018-03-06_103321,24.45,25.80,1520354001.969085
2018-03-06_103331,24.44,25.83,1520354011.969099
2018-03-06_103341,24.45,25.83,1520354021.969113
2018-03-06_103351,24.42,25.82,1520354031.969127
2018-03-06_103401,24.44,25.85,1520354041.969141
2018-03-06_103411,24.44,25.86,1520354051.969155
2018-03-06_103421,24.46,25.86,1520354061.969169
2018-03-06_103431,24.45,25.86,1520354071.969183
2018-03-06_103441,24.45,25.87,1520354081.969197
2018-03-06_103451,24.44,25.89,1520354091.969211
2018-03-06_103501,24.44,25.90,1520354101.969225
2018-03-06_103511,24.44,25.90,1520354111.969239
2018-03-06_103521,24.45,25.89,1520354121.969253
2018-03-06_103531,24.44,25.89,1520354131.969267
2018-03-06_103541,24.45,25.93,1520354141.969281
2018-03-06_103551,24.44,25.94,1520354151.969295
2018-03-06_103601,24.42,25.93,1520354161.969309
2018-03-06_103611,24.45,25.94,1520354171.969323
2018-03-06_103621,24.44,25.96,1520354181.969337
2018-03-06_103631,24.44,25.94,1520354191.969351
2018-03-06_103641,24.46,25.97,1520354201.969365
2018-03-06_103651,24.46,25.96,1520354211.969379
2018-03-06_103701,24.46,25.98,1520354221.969393
2018-03-06_103711,24.45,25.98,1520354231.969407
2018-03-06_103721,24.44,25.97,1520354241.969421
2018-03-06_103731,24.44,25.98,1520354251.969435
2018-03-06_103741,24.45,26.00,1520354261.969449
2018-03-06_103751,24.44,25.97,1520354271.969463
2018-03-06_103801,24.44,26.03,1520354281.969477
2018-03-06_103811,24.46,26.01,1520354291.969491
2018-03-06_103821,24.45,26.03,1520354301.969505
2018-03-06_103831,24.44,25.98,1520354311.969519
2018-03-06_103841,24.45,26.05,1520354321.969533
2018-03-06_103851,24.46,26.01,1520354331.969547
2018-03-06_103901,24.45,26.03,1520354341.969561
2018-03-06_103911,24.44,26.07,1520354351.969575
2018-03-06_103921,24.44,26.08,1520354361.969589
2018-03-06_103931,24.45,26.05,1520354371.969603
2018-03-06_103941,24.44,26.05,1520354381.969617
2018-03-06_103951,24.46,26.04,1520354391.969631
2018-03-06_104001,24.46,26.04,1520354401.969645
2018-03-06_104011,24.45,26.04,1520354411.969659
2018-03-06_104021,24.48,26.04,1520354421.969673
2018-03-06_104031,24.44,26.04,1520354431.969687
2018-03-06_104041,24.46,26.05,1520354441.969701
2018-03-06_104051,24.46,26.14,1520354451.969715
2018-03-06_104101,24.45,26.09,1520354461.969729
2018-03-06_104111,24.46,26.08,1520354471.969743
2018-03-06_104121,24.45,26.07,1520354481.969757
2018-03-06_104131,24.45,26.07,1520354491.969771
2018-03-06_104141,24.45,26.14,1520354501.969785
2018-03-06_104151,24.46,26.09,1520354511.969799
2018-03-06_104201,24.45,26.16,1520354521.969813
2018-03-06_104211,24.44,26.11,1520354531.969827
2018-03-06_104221,24.45,26.12,1520354541.969841
2018-03-06_104231,24.45,26.09,1520354551.969855
2018-03-06_104241,24.45,26.09,1520354561.969869
2018-03-06_104251,24.44,26.11,1520354571.969883
2018-03-06_104301,24.44,26.14,1520354581.969897
2018-03-06_104311,24.45,26.11,1520354591.969911
2018-03-06_104321,24.46,26.08,1520354601.969925
2018-03-06_104331,24.46,26.08,1520354611.969939
2018-03-06_104341,24.45,26.09,1520354621.969953
2018-03-06_104351,24.45,26.12,1520354631.969967
2018-03-06_104401,24.45,26.12,1520354641.969981
2018-03-06_104411,24.46,26.08,1520354651.969995
2018-03-06_104421,24.45,26.09,1520354661.970009
2018-03-06_104431,24.46,26.14,1520354671.970023
2018-03-06_104441,24.46,26.09,1520354681.970037
2018-03-06_104451,24.45,26.09,1520354691.970051
2018-03-06_104501,24.45,26.08,1520354701.970065
2018-03-06_104511,24.48,26.11,1520354711.970079
2018-03-06_104521,24.44,26.07,1520354721.970093
2018-03-06_104531,24.45,26.05,1520354731.970107
2018-03-06_104541,24.46,26.11,1520354741.970121
2018-03-06_104551,24.46,26.08,1520354751.970135
2018-03-06_104601,24.46,26.04,1520354761.970149
2018-03-06_104611,24.45,26.07,1520354771.970163
2018-03-06_104621,24.45,26.03,1520354781.970177
2018-03-06_104631,24.45,26.04,1520354791.970191
2018-03-06_104641,24.46,26.04,1520354801.970205
2018-03-06_104651,24.45,26.03,1520354811.970219
2018-03-06_104701,24.45,25.96,1520354821.970233
2018-03-06_104711,24.44,26.01,1520354831.970247
2018-03-06_104721,24.44,25.93,1520354841.970261
2018-03-06_104731,24.46,25.96,1520354851.970275
2018-03-06_104741,24.45,26.00,1520354861.970289
2018-03-06_104751,24.45,25.96,1520354871.970303
2018-03-06_104801,24.46,25.93,1520354881.970317
2018-03-06_104811,24.46,25.92,1520354891.970331
2018-03-06_104821,24.46,25.92,1520354901.970345
2018-03-06_104831,24.46,25.90,1520354911.970359
2018-03-06_104841,24.45,25.88,1520354921.970373
2018-03-06_104851,24.46,25.89,1520354931.970387
2018-03-06_104901,24.46,25.85,1520354941.970401
2018-03-06_104911,24.45,25.82,1520354951.970415
2018-03-06_104921,24.46,25.83,1520354961.970429
2018-03-06_104931,24.45,25.79,1520354971.970443
2018-03-06_104941,24.46,25.83,1520354981.970457
2018-03-06_104951,24.45,25.78,1520354991.970471
2018-03-06_105001,24.45,25.76,1520355001.970485
