2018-03-23_000012,24.44,24.79,1521781212.842268
2018-03-23_000022,24.44,24.80,1521781222.84384
2018-03-23_000032,24.42,24.79,1521781232.845412
2018-03-23_000042,24.45,24.79,1521781242.845984
2018-03-23_000052,24.48,24.80,1521781252.847556
2018-03-23_000102,24.42,24.73,1521781262.848128
2018-03-23_000112,24.45,24.79,1521781272.8487
2018-03-23_000122,24.45,24.76,1521781282.849272
2018-03-23_000132,24.46,24.76,1521781292.849844
2018-03-23_000142,24.45,24.72,1521781302.850416
2018-03-23_000152,24.45,24.77,1521781312.850988
2018-03-23_000202,24.44,24.76,1521781322.85256
2018-03-23_000212,24.45,24.76,1521781332.853132
2018-03-23_000222,24.44,24.70,1521781342.853704
2018-03-23_000232,24.42,24.73,1521781352.854276
2018-03-23_000242,24.45,24.73,1521781362.854848
2018-03-23_000252,24.45,24.69,1521781372.85542
2018-03-23_000302,24.44,24.68,1521781382.855992
2018-03-23_000312,24.42,24.69,1521781392.856564
2018-03-23_000322,24.44,24.69,1521781402.857136
2018-03-23_000332,24.45,24.65,1521781412.857708
2018-03-23_000342,24.48,24.64,1521781422.85828
2018-03-23_000352,24.45,24.66,1521781432.858852
2018-03-23_000402,24.44,24.64,1521781442.859424
2018-03-23_000412,24.44,24.64,1521781452.859996
2018-03-23_000422,24.45,24.63,1521781462.861568
2018-03-23_000432,24.44,24.64,1521781472.86214
2018-03-23_000442,24.46,24.62,1521781482.862712
2018-03-23_000452,24.44,24.58,1521781492.863284
2018-03-23_000502,24.42,24.57,1521781502.863856
2018-03-23_000512,24.44,24.55,1521781512.864428
2018-03-23_000522,24.44,24.55,1521781522.865
2018-03-23_000532,24.42,24.58,1521781532.866573
2018-03-23_000542,24.45,24.50,1521781542.867145
2018-03-23_000552,24.44,24.54,1521781552.867717
2018-03-23_000602,24.44,24.47,1521781562.868289
2018-03-23_000612,24.44,24.51,1521781572.868861
2018-03-23_000622,24.45,24.48,1521781582.869433
2018-03-23_000632,24.44,24.50,1521781592.870005
2018-03-23_000642,24.44,24.47,1521781602.871577
2018-03-23_000652,24.45,24.48,1521781612.872149
2018-03-23_000702,24.44,24.46,1521781622.872721
2018-03-23_000712,24.44,24.47,1521781632.873293
2018-03-23_000722,24.45,24.46,1521781642.873865
2018-03-23_000732,24.45,24.40,1521781652.874437
2018-03-23_000742,24.45,24.39,1521781662.875009
2018-03-23_000752,24.44,24.41,1521781672.876581
2018-03-23_000802,24.48,24.40,1521781682.877153
2018-03-23_000812,24.45,24.35,1521781692.877725
2018-03-23_000822,24.45,24.39,1521781702.878297
2018-03-23_000832,24.45,24.39,1521781712.878869
2018-03-23_000842,24.42,24.33,1521781722.879441
2018-03-23_000852,24.45,24.35,1521781732.880013
2018-03-23_000902,24.45,24.30,1521781742.881585
2018-03-23_000912,24.44,24.30,1521781752.882157
2018-03-23_000922,24.44,24.26,1521781762.882729
2018-03-23_000932,24.45,24.28,1521781772.883301
2018-03-23_000942,24.45,24.32,1521781782.883873
2018-03-23_000952,24.44,24.29,1521781792.884445
2018-03-23_001002,24.44,24.26,1521781802.885017
2018-03-23_001012,24.42,24.19,1521781812.886589
2018-03-23_001022,24.45,24.26,1521781822.887161
2018-03-23_001032,24.44,24.25,1521781832.887733
2018-03-23_001042,24.44,24.19,1521781842.888305
2018-03-23_001052,24.46,24.21,1521781852.888877
2018-03-23_001102,24.44,24.21,1521781862.889449
2018-03-23_001112,24.45,24.19,1521781872.890021
2018-03-23_001122,24.46,24.22,1521781882.891593
2018-03-23_001132,24.44,24.17,1521781892.892165
2018-03-23_001142,24.44,24.19,1521781902.892737
2018-03-23_001152,24.46,24.15,1521781912.893309
2018-03-23_001202,24.44,24.15,1521781922.893881
2018-03-23_001212,24.44,24.15,1521781932.894453
2018-03-23_001222,24.44,24.15,1521781942.895025
2018-03-23_001232,24.45,24.17,1521781952.895597
2018-03-23_001242,24.45,24.13,1521781962.896169
2018-03-23_001252,24.46,24.15,1521781972.896741
2018-03-23_001302,24.45,24.13,1521781982.897313
2018-03-23_001312,24.44,24.10,1521781992.897885
2018-03-23_001322,24.45,24.12,1521782002.898457
2018-03-23_001332,24.42,24.08,1521782012.899029
2018-03-23_001342,24.45,24.06,1521782022.900601
2018-03-23_001352,24.42,24.05,1521782032.901173
2018-03-23_001402,24.44,24.01,1521782042.901745
2018-03-23_001412,24.45,24.03,1521782052.902317
2018-03-23_001422,24.42,24.03,1521782062.902889
2018-03-23_001432,24.45,24.01,1521782072.903461
2018-03-23_001442,24.45,24.04,1521782082.904033
2018-03-23_001452,24.44,24.01,1521782092.905605
2018-03-23_001502,24.45,24.01,1521782102.906177
2018-03-23_001512,24.44,24.01,1521782112.906749
2018-03-23_001522,24.44,23.97,1521782122.907321
2018-03-23_001532,24.42,24.00,1521782132.907893
2018-03-23_001542,24.44,23.99,1521782142.908465
2018-03-23_001552,24.44,24.00,1521782152.909037
2018-03-23_001602,24.44,24.00,1521782162.910609
2018-03-23_001612,24.42,24.00,1521782172.911181
2018-03-23_001622,24.42,23.95,1521782182.911753
2018-03-23_001632,24.45,23.96,1521782192.912325
2018-03-23_001642,24.42,23.97,1521782202.912897
2018-03-23_001652,24.44,23.99,1521782212.913469
2018-03-23_001702,24.44,23.93,1521782222.914041
2018-03-23_001712,24.44,24.00,1521782232.914613
2018-03-23_001722,24.44,23.97,1521782242.915185
2018-03-23_001732,24.45,23.97,1521782252.915757
2018-03-23_001742,24.45,23.99,1521782262.916329
2018-03-23_001752,24.45,24.01,1521782272.916901
2018-03-23_001802,24.46,23.99,1521782282.917473
2018-03-23_001812,24.45,23.97,1521782292.918045
2018-03-23_001822,24.45,24.00,1521782302.918617
2018-03-23_001832,24.44,23.96,1521782312.919189
2018-03-23_001842,24.46,23.99,1521782322.919761
2018-03-23_001852,24.45,24.01,1521782332.920333
2018-03-23_001902,24.45,24.01,1521782342.920905
2018-03-23_001912,24.44,23.97,1521782352.921477
2018-03-23_001922,24.44,24.00,1521782362.922049
2018-03-23_001932,24.44,23.94,1521782372.922621
2018-03-23_001942,24.45,24.01,1521782382.923193
2018-03-23_001952,24.45,23.97,1521782392.923765
