date, temp (C), RH (%), epoch time (s)
2018-04-10_110337,22.90,25.50,1523376217.8283432
2018-04-10_110347,22.91,25.49,1523376227.8283572
2018-04-10_110357,22.91,25.54,1523376237.8283713
2018-04-10_110407,22.93,25.58,1523376247.828385
2018-04-10_110417,22.93,25.53,1523376257.8283992
2018-04-10_110427,22.94,25.53,1523376267.8284132
2018-04-10_110437,22.90,25.58,1523376277.828427
2018-04-10_110447,22.93,25.59,1523376287.8284411
2018-04-10_110457,22.90,25.54,1523376297.8284552
2018-04-10_110507,22.91,25.59,1523376307.828469
2018-04-10_110517,22.91,25.59,1523376317.828483
2018-04-10_110527,22.93,25.60,1523376327.8284972
2018-04-10_110537,22.91,25.64,1523376337.828511
2018-04-10_110547,22.93,25.61,1523376347.828525
2018-04-10_110557,22.91,25.64,1523376357.8285391
2018-04-10_110607,22.91,25.60,1523376367.8285532
2018-04-10_110617,22.93,25.60,1523376377.828567
2018-04-10_110627,22.90,25.65,1523376387.828581
2018-04-10_110637,22.93,25.59,1523376397.8285952
2018-04-10_110647,22.94,25.64,1523376407.828609
2018-04-10_110657,22.91,25.63,1523376417.828623
2018-04-10_110707,22.93,25.61,1523376427.8286371
2018-04-10_110717,22.94,25.70,1523376437.828651
2018-04-10_110727,22.93,25.64,1523376447.828665
2018-04-10_110737,22.93,25.65,1523376457.828679
2018-04-10_110747,22.93,25.68,1523376467.828693
2018-04-10_110757,22.93,25.67,1523376477.828707
2018-04-10_110807,22.93,25.68,1523376487.828721
2018-04-10_110817,22.94,25.70,1523376497.8287349
2018-04-10_110827,22.93,25.77,1523376507.828749
2018-04-10_110837,22.90,25.74,1523376517.8287632
2018-04-10_110847,22.90,25.74,1523376527.8287773
2018-04-10_110857,22.91,25.73,1523376537.8287911
2018-04-10_110907,22.91,25.77,1523376547.8288052
2018-04-10_110917,22.93,25.73,1523376557.8288193
2018-04-10_110927,22.93,25.71,1523376567.828833
2018-04-10_110937,22.88,25.77,1523376577.8288472
2018-04-10_110947,22.88,25.75,1523376587.8288612
2018-04-10_110957,22.90,25.80,1523376597.828875
2018-04-10_111007,22.88,25.84,1523376607.8288891
2018-04-10_111017,22.90,25.80,1523376617.8289032
2018-04-10_111027,22.90,25.81,1523376627.828917
2018-04-10_111037,22.90,25.81,1523376637.828931
2018-04-10_111047,22.91,25.80,1523376647.8289452
2018-04-10_111057,22.90,25.82,1523376657.828959
2018-04-10_111107,22.88,25.87,1523376667.828973
2018-04-10_111117,22.90,25.82,1523376677.8289871
2018-04-10_111127,22.91,25.91,1523376687.8290012
2018-04-10_111137,22.90,25.88,1523376697.829015
2018-04-10_111147,22.90,25.90,1523376707.829029
2018-04-10_111157,22.90,25.92,1523376717.8290431
2018-04-10_111207,22.88,25.90,1523376727.829057
2018-04-10_111217,22.90,25.88,1523376737.829071
2018-04-10_111227,22.88,25.88,1523376747.829085
