date, temp (C), RH (%), epoch time (s)
2018-02-06_082723,21.64,32.58,1517927243.595914
2018-02-06_082734,21.62,32.63,1517927254.635929
2018-02-06_082745,21.63,32.65,1517927265.625945
2018-02-06_082756,21.66,32.68,1517927276.62596
2018-02-06_082807,21.64,32.67,1517927287.645976
2018-02-06_082818,21.66,32.69,1517927298.655991
2018-02-06_082829,21.67,32.71,1517927309.666006
2018-02-06_082840,21.64,32.74,1517927320.666022
2018-02-06_082851,21.66,32.71,1517927331.676037
2018-02-06_082902,21.67,32.67,1517927342.686053
2018-02-06_082913,21.67,32.61,1517927353.706068
