date, temp (C), RH (%), epoch time (s)
2018-02-06_082724,21.95,34.00,1517927244.765916
2018-02-06_082735,21.93,34.04,1517927255.775931
2018-02-06_082746,21.95,34.12,1517927266.765946
2018-02-06_082757,21.98,34.24,1517927277.775962
2018-02-06_082808,21.98,34.15,1517927288.785977
2018-02-06_082819,21.99,34.06,1517927299.785993
2018-02-06_082830,21.99,33.99,1517927310.786008
2018-02-06_082841,22.01,33.91,1517927321.796023
2018-02-06_082852,22.01,33.70,1517927332.806039
2018-02-06_082903,22.01,33.54,1517927343.806054
2018-02-06_082914,21.99,33.29,1517927354.80607
